Molecule-Related Stress		
This table was generated by retriving a list of proteins related to Caspases, Ferroptosis, Pore-formers, Cuproptosis, Pathanatos, and Anoikis found in both the UniProt and ProteinAtlas datasets to ensure high-confidence data		
		
Protein names	Gene Names	Gene Ontology (biological process)
Cellular tumor antigen p53 (Antigen NY-CO-13) (Phosphoprotein p53) (Tumor suppressor p53)	TP53 P53	autophagy [GO:0006914]; B cell lineage commitment [GO:0002326]; bone marrow development [GO:0048539]; cardiac muscle cell apoptotic process [GO:0010659]; cardiac septum morphogenesis [GO:0060411]; cellular response to actinomycin D [GO:0072717]; cellular response to gamma radiation [GO:0071480]; cellular response to glucose starvation [GO:0042149]; cellular response to hypoxia [GO:0071456]; cellular response to ionizing radiation [GO:0071479]; cellular response to UV [GO:0034644]; cellular response to UV-C [GO:0071494]; cellular response to xenobiotic stimulus [GO:0071466]; cellular senescence [GO:0090398]; cerebellum development [GO:0021549]; chromosome organization [GO:0051276]; circadian behavior [GO:0048512]; determination of adult lifespan [GO:0008340]; DNA damage response [GO:0006974]; DNA damage response, signal transduction by p53 class mediator [GO:0030330]; double-strand break repair [GO:0006302]; embryonic organ development [GO:0048568]; entrainment of circadian clock by photoperiod [GO:0043153]; ER overload response [GO:0006983]; fibroblast proliferation [GO:0048144]; gastrulation [GO:0007369]; glial cell proliferation [GO:0014009]; glucose catabolic process to lactate via pyruvate [GO:0019661]; hematopoietic progenitor cell differentiation [GO:0002244]; hematopoietic stem cell differentiation [GO:0060218]; in utero embryonic development [GO:0001701]; intracellular protein localization [GO:0008104]; intrinsic apoptotic signaling pathway [GO:0097193]; intrinsic apoptotic signaling pathway by p53 class mediator [GO:0072332]; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO:0070059]; intrinsic apoptotic signaling pathway in response to hypoxia [GO:1990144]; mitochondrial DNA repair [GO:0043504]; mitophagy [GO:0000423]; mitotic G1 DNA damage checkpoint signaling [GO:0031571]; mRNA transcription [GO:0009299]; multicellular organism growth [GO:0035264]; necroptotic process [GO:0070266]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell growth [GO:0030308]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of DNA replication [GO:0008156]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of fibroblast proliferation [GO:0048147]; negative regulation of G1 to G0 transition [GO:1903451]; negative regulation of glial cell proliferation [GO:0060253]; negative regulation of glucose catabolic process to lactate via pyruvate [GO:1904024]; negative regulation of helicase activity [GO:0051097]; negative regulation of miRNA processing [GO:1903799]; negative regulation of mitophagy [GO:1901525]; negative regulation of neuroblast proliferation [GO:0007406]; negative regulation of pentose-phosphate shunt [GO:1905856]; negative regulation of proteolysis [GO:0045861]; negative regulation of reactive oxygen species metabolic process [GO:2000378]; negative regulation of stem cell proliferation [GO:2000647]; negative regulation of telomere maintenance via telomerase [GO:0032211]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; neuroblast proliferation [GO:0007405]; neuron apoptotic process [GO:0051402]; nucleotide-excision repair [GO:0006289]; oligodendrocyte apoptotic process [GO:0097252]; oxidative stress-induced premature senescence [GO:0090403]; positive regulation of apoptotic process [GO:0043065]; positive regulation of cardiac muscle cell apoptotic process [GO:0010666]; positive regulation of cellular senescence [GO:2000774]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of execution phase of apoptosis [GO:1900119]; positive regulation of gene expression [GO:0010628]; positive regulation of intrinsic apoptotic signaling pathway [GO:2001244]; positive regulation of miRNA transcription [GO:1902895]; positive regulation of mitochondrial membrane permeability [GO:0035794]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of programmed necrotic cell death [GO:0062100]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; positive regulation of release of cytochrome c from mitochondria [GO:0090200]; positive regulation of RNA polymerase II transcription preinitiation complex assembly [GO:0045899]; positive regulation of thymocyte apoptotic process [GO:0070245]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein import into nucleus [GO:0006606]; protein stabilization [GO:0050821]; protein tetramerization [GO:0051262]; protein-containing complex assembly [GO:0065003]; Ras protein signal transduction [GO:0007265]; reactive oxygen species metabolic process [GO:0072593]; regulation of apoptotic process [GO:0042981]; regulation of cell cycle [GO:0051726]; regulation of cell cycle G2/M phase transition [GO:1902749]; regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043516]; regulation of DNA-templated transcription [GO:0006355]; regulation of fibroblast apoptotic process [GO:2000269]; regulation of intrinsic apoptotic signaling pathway by p53 class mediator [GO:1902253]; regulation of mitochondrial membrane permeability involved in apoptotic process [GO:1902108]; regulation of tissue remodeling [GO:0034103]; regulation of transcription by RNA polymerase II [GO:0006357]; release of cytochrome c from mitochondria [GO:0001836]; replicative senescence [GO:0090399]; response to antibiotic [GO:0046677]; response to gamma radiation [GO:0010332]; response to ischemia [GO:0002931]; response to salt stress [GO:0009651]; response to X-ray [GO:0010165]; rRNA transcription [GO:0009303]; signal transduction by p53 class mediator [GO:0072331]; somitogenesis [GO:0001756]; stem cell proliferation [GO:0072089]; T cell differentiation in thymus [GO:0033077]; T cell lineage commitment [GO:0002360]; T cell proliferation involved in immune response [GO:0002309]; thymocyte apoptotic process [GO:0070242]; transcription initiation-coupled chromatin remodeling [GO:0045815]; transforming growth factor beta receptor signaling pathway [GO:0007179]; tumor necrosis factor-mediated signaling pathway [GO:0033209]; type II interferon-mediated signaling pathway [GO:0060333]; viral process [GO:0016032]
E3 ubiquitin-protein ligase TRIM39 (EC 2.3.2.27) (RING finger protein 23) (RING-type E3 ubiquitin transferase TRIM39) (Testis-abundant finger protein) (Tripartite motif-containing protein 39)	TRIM39 RNF23 TFP	apoptotic process [GO:0006915]; innate immune response [GO:0045087]; mitotic G2 DNA damage checkpoint signaling [GO:0007095]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032435]; negative regulation of ubiquitin-dependent protein catabolic process [GO:2000059]; positive regulation of apoptotic signaling pathway [GO:2001235]; protein stabilization [GO:0050821]; protein ubiquitination [GO:0016567]; regulation of cell cycle G1/S phase transition [GO:1902806]; regulation of gene expression [GO:0010468]
Transient receptor potential cation channel subfamily M member 7 (EC 2.7.11.1) (Channel-kinase 1) (Long transient receptor potential channel 7) (LTrpC-7) (LTrpC7) [Cleaved into: TRPM7 kinase, cleaved form (M7CK); TRPM7 channel, cleaved form]	TRPM7 CHAK1 LTRPC7	actomyosin structure organization [GO:0031032]; calcium ion transmembrane transport [GO:0070588]; calcium ion transport [GO:0006816]; calcium-dependent cell-matrix adhesion [GO:0016340]; intracellular magnesium ion homeostasis [GO:0010961]; magnesium ion homeostasis [GO:0010960]; magnesium ion transport [GO:0015693]; monoatomic cation transmembrane transport [GO:0098655]; necroptotic process [GO:0070266]; protein autophosphorylation [GO:0046777]; protein homotetramerization [GO:0051289]; protein phosphorylation [GO:0006468]; zinc ion transport [GO:0006829]
Ubiquitin-protein ligase E3A (EC 2.3.2.26) (E6AP ubiquitin-protein ligase) (HECT-type ubiquitin transferase E3A) (Human papillomavirus E6-associated protein) (Oncogenic protein-associated protein E6-AP) (Renal carcinoma antigen NY-REN-54)	UBE3A E6AP EPVE6AP HPVE6A	androgen receptor signaling pathway [GO:0030521]; brain development [GO:0007420]; negative regulation of TORC1 signaling [GO:1904262]; ovarian follicle development [GO:0001541]; positive regulation of Golgi lumen acidification [GO:1905528]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of transcription by RNA polymerase II [GO:0045944]; progesterone receptor signaling pathway [GO:0050847]; prostate gland growth [GO:0060736]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein autoubiquitination [GO:0051865]; protein K48-linked ubiquitination [GO:0070936]; protein polyubiquitination [GO:0000209]; proteolysis [GO:0006508]; regulation of circadian rhythm [GO:0042752]; regulation of synaptic plasticity [GO:0048167]; regulation of ubiquitin-dependent protein catabolic process [GO:2000058]; response to progesterone [GO:0032570]; rhythmic process [GO:0048511]; sperm entry [GO:0035037]; ubiquitin-dependent protein catabolic process [GO:0006511]
Ubiquitin carboxyl-terminal hydrolase 48 (EC 3.4.19.12) (Deubiquitinating enzyme 48) (Ubiquitin thioesterase 48) (Ubiquitin-specific peptidase 48) (Ubiquitin-specific protease 48) (Ubiquitin-specific-processing protease 48)	USP48 USP31	protein deubiquitination [GO:0016579]; proteolysis [GO:0006508]; regulation of protein stability [GO:0031647]
XIAP-associated factor 1 (BIRC4-binding protein)	XAF1 BIRC4BP XIAPAF1	apoptotic process [GO:0006915]; negative regulation of type I interferon production [GO:0032480]; response to interferon-beta [GO:0035456]
14-3-3 protein zeta/delta (Protein kinase C inhibitor protein 1) (KCIP-1)	YWHAZ	angiogenesis [GO:0001525]; cellular response to glucose starvation [GO:0042149]; ERK1 and ERK2 cascade [GO:0070371]; establishment of Golgi localization [GO:0051683]; Golgi reassembly [GO:0090168]; intracellular protein localization [GO:0008104]; lung development [GO:0030324]; negative regulation of apoptotic process [GO:0043066]; negative regulation of innate immune response [GO:0045824]; negative regulation of protein localization to nucleus [GO:1900181]; negative regulation of TORC1 signaling [GO:1904262]; negative regulation of transcription by RNA polymerase II [GO:0000122]; protein phosphorylation [GO:0006468]; protein targeting [GO:0006605]; regulation of ERK1 and ERK2 cascade [GO:0070372]; regulation of protein stability [GO:0031647]; regulation of synapse maturation [GO:0090128]; respiratory system process [GO:0003016]; signal transduction [GO:0007165]; synaptic target recognition [GO:0008039]; tube formation [GO:0035148]
Transcriptional regulator Kaiso (Zinc finger and BTB domain-containing protein 33)	ZBTB33 KAISO ZNF348	intracellular signal transduction [GO:0035556]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; regulation of cytokine production [GO:0001817]; regulation of immune system process [GO:0002682]; Wnt signaling pathway [GO:0016055]
Palmitoyltransferase ZDHHC5 (EC 2.3.1.225) (Zinc finger DHHC domain-containing protein 5) (DHHC-5) (Zinc finger protein 375)	ZDHHC5 KIAA1748 ZNF375	innate immune response [GO:0045087]; lipid transport [GO:0006869]; non-canonical inflammasome complex assembly [GO:0160075]; positive regulation of NLRP3 inflammasome complex assembly [GO:1900227]; positive regulation of pattern recognition receptor signaling pathway [GO:0062208]; positive regulation of protein localization to phagocytic vesicle [GO:1905171]; positive regulation of protein localization to plasma membrane [GO:1903078]; positive regulation of pyroptotic inflammatory response [GO:0140639]; protein localization to plasma membrane [GO:0072659]; protein maturation [GO:0051604]; protein palmitoylation [GO:0018345]; regulation of postsynaptic membrane neurotransmitter receptor levels [GO:0099072]
Palmitoyltransferase ZDHHC9 (EC 2.3.1.225) (Zinc finger DHHC domain-containing protein 9) (DHHC-9) (DHHC9) (Zinc finger protein 379) (Zinc finger protein 380)	ZDHHC9 CXorf11 ZDHHC10 ZNF379 ZNF380 CGI-89 UNQ261/PRO298	host-mediated activation of viral process [GO:0044794]; MAPK cascade [GO:0000165]; non-canonical inflammasome complex assembly [GO:0160075]; peptidyl-L-cysteine S-palmitoylation [GO:0018230]; positive regulation of cGAS/STING signaling pathway [GO:0141111]; positive regulation of pyroptotic inflammatory response [GO:0140639]; post-translational protein modification [GO:0043687]; protein maturation [GO:0051604]; protein targeting to membrane [GO:0006612]
ADP-ribosylhydrolase ARH3 (ADP-ribose glycohydrolase ARH3) (ADP-ribosylhydrolase 3) (O-acetyl-ADP-ribose deacetylase ARH3) (EC 3.5.1.-) (Poly(ADP-ribose) glycohydrolase ARH3) (EC 3.2.1.143) ([Protein ADP-ribosylarginine] hydrolase-like protein 2) ([Protein ADP-ribosylserine] hydrolase) (EC 3.2.2.-)	ADPRS ADPRHL2 ARH3	base-excision repair, gap-filling [GO:0006287]; cellular response to superoxide [GO:0071451]; DNA repair [GO:0006281]; negative regulation of necroptotic process [GO:0060546]; peptidyl-serine ADP-deribosylation [GO:0140290]
